date,trip_count,temperature
2022-11-22,2318,6.6
2022-11-23,2252,9.4
2022-11-24,1160,8.1
2022-11-25,1290,10.0
2022-11-26,1746,9.3
2022-11-27,1075,10.7
2022-11-28,2202,12.2
2022-11-29,2346,5.4
2022-11-30,1751,8.4
2022-12-01,2349,5.7
2022-12-02,2391,3.4
2022-12-03,1454,10.6
2022-12-04,1995,7.0
2022-12-05,2194,5.4
2022-12-06,1565,9.3
2022-12-07,2117,13.8
2022-12-08,2568,11.6
2022-12-09,2322,5.3
2022-12-10,1989,2.2
2022-12-11,1053,3.4
2022-12-12,1776,1.6000000000000003
2022-12-13,1935,0.3
2022-12-14,1950,1.7
2022-12-15,1334,2.7
2022-12-16,843,6.2
2022-12-17,1896,5.0
2022-12-18,1524,3.1000000000000005
2022-12-19,1545,1.7
2022-12-20,1760,1.9
2022-12-21,1886,1.0
2022-12-22,1304,3.8
2022-12-23,693,7.5
2022-12-24,345,-11.7
2022-12-25,245,-6.9
2022-12-26,591,-4.7
2022-12-27,1049,-0.7
2022-12-28,1399,3.3999999999999995
2022-12-29,1601,6.400000000000001
2022-12-30,1929,9.3
2022-12-31,983,8.2
